id	char
1091	枝
1092	枯
1093	架
1094	枸
1095	染
1096	柔
1097	查
1098	柯
1099	柳
1100	柴
1101	栓
1102	校
1103	根
1104	格
1105	栽
1106	桃
1107	框
1108	案
1109	桌
1110	桑
1111	梁
1112	條
1113	梟
1114	梢
1115	梨
1116	梭
1117	梯
1118	棄
1119	棋
1120	棍
1121	棒
1122	棘
1123	棧
1124	森
1125	棵
1126	椅
1127	植
1128	椏
1129	楊
1130	楓
1131	楔
1132	楚
1133	楝
1134	楠
1135	業
1136	極
1137	楷
1138	概
1139	榖
1140	榜
1141	榨
1142	榮
1143	榻
1144	槍
1145	樂
1146	樓
1147	標
1148	樟
1149	模
1150	樣
1151	樹
1152	橋
1153	機
1154	橡
1155	橫
1156	檀
1157	檢
1158	檳
1159	櫃
1160	櫛
1161	櫥
1162	櫸
1163	權
1164	欠
1165	次
1166	欣
1167	欲
1168	款
1169	歃
1170	歇
1171	歉
1172	歌
1173	歐
1174	歡
1175	止
1176	正
1177	此
1178	步
1179	武
1180	歲
1181	歷
1182	歸
1183	死
1184	殘
1185	殤
1186	段
1187	殺
1188	殼
1189	殿
1190	毀
1191	毅
1192	母
1193	每
1194	毒
1195	比
1196	毛
1197	毫
1198	毯
1199	民
1200	氛
1201	氣
1202	氧
1203	水
1204	永
1205	汁
1206	求
1207	汐
1208	汗
1209	汙
1210	江
1211	池
1212	汰
1213	決
1214	汽
1215	沉
1216	沒
1217	沙
1218	沮
1219	河
1220	沸
1221	油
1222	治
1223	沼
1224	沾
1225	況
1226	泉
1227	泊
1228	法
1229	泛
1230	泡
1231	波
1232	泣
1233	泥
1234	注
1235	泰
1236	洋
1237	洗
1238	洛
1239	洞
1240	洪
1241	洲
1242	洶
1243	活
1244	流
1245	浩
1246	浪
1247	浮
1248	浴
1249	海
1250	消
1251	涯
1252	液
1253	涼
1254	淇
1255	淋
1256	淌
1257	淒
1258	淘
1259	淚
1260	淡
1261	淨
1262	淩
1263	淪
1264	深
1265	混
1266	淹
1267	淺
1268	清
1269	減
1270	渡
1271	渦
1272	測
1273	渲
1274	渴
1275	渺
1276	湖
1277	湛
1278	湧
1279	湯
1280	溉
1281	準
1282	溜
1283	溝
1284	溢
1285	溪
1286	溫
1287	溶
1288	滄
1289	滅
1290	滋
1291	滌
1292	滑
1293	滲
1294	滴
1295	滾
1296	滿
1297	漂
1298	漆
1299	演
1300	漠
1301	漢
1302	漣
1303	漪
1304	漫
1305	漸
1306	漿
1307	潑
1308	潔
1309	潤
1310	潦
1311	潮
1312	潰
1313	澈
1314	澡
1315	澤
1316	激
1317	濁
1318	濃
1319	濕
1320	濘
1321	濛
1322	濡
1323	濾
1324	瀋
1325	瀏
1326	瀟
1327	瀰
1328	灌
1329	灑
1330	灘
1331	灣
1332	火
1333	灰
1334	災
1335	炊
1336	炫
1337	炭
1338	炮
1339	為
1340	烈
1341	烊
1342	烏
1343	烤
1344	烽
1345	焚
1346	無
1347	焦
1348	焰
1349	然
1350	煌
1351	煙
1352	煞
1353	煤
1354	照
1355	煩
1356	煮
1357	熄
1358	熙
1359	熟
1360	熬
1361	熱
1362	燃
1363	燈
1364	燒
1365	燕
1366	燙
1367	營
1368	燥
1369	燦
1370	燭
1371	爍
1372	爐
1373	爛
1374	爪
1375	爬
1376	爭
1377	爵
1378	父
1379	爸
1380	爹
1381	爺
1382	爽
1383	爾
1384	牆
1385	片
1386	版
1387	牌
1388	牙
1389	牛
1390	牡
1391	牢
1392	牧
1393	物
1394	牲
1395	特
1396	牽
1397	犧
1398	犯
1399	狀
1400	狂
1401	狐
1402	狗
1403	狠
1404	狩
1405	狼
1406	狽
1407	猙
1408	猜
1409	猴
1410	猶
1411	獄
1412	獅
1413	獨
1414	獰
1415	獵
1416	獸
1417	獻
1418	玄
1419	率
1420	王
1421	玩
1422	玫
1423	玻
1424	珀
1425	珊
1426	珍
1427	珠
1428	班
1429	現
1430	球
1431	理
1432	琉
1433	琥
1434	琳
1435	琴
1436	琵
1437	琶
1438	瑄
1439	瑕
1440	瑚
1441	瑜
1442	瑣
1443	瑩
1444	瑰
1445	璀
1446	璃
1447	璨
1448	環
1449	瓜
1450	瓢
1451	瓣
1452	瓦
1453	瓶
1454	瓷
1455	甘
1456	甚
1457	甜
1458	生
1459	産
1460	用
1461	甩
1462	田
1463	由
1464	甲
1465	男
1466	界
1467	畏
1468	留
1469	畢
1470	略
1471	番
1472	畫
1473	異
1474	當
1475	疆
1476	疊
1477	疑
1478	疚
1479	疤
1480	疲
1481	疼
1482	病
1483	痕
1484	痛
1485	痹
1486	瘋
1487	瘦
1488	瘴
1489	療
1490	癮
1491	登
1492	發
1493	白
1494	百
1495	的
1496	皇
1497	皎
1498	皮
1499	盆
1500	盈
1501	盎
1502	盒
1503	盔
1504	盛
1505	盞
1506	盟
1507	盡
1508	盤
1509	目
1510	盯
1511	盲
1512	直
1513	相
1514	盼
1515	盾
1516	眉
1517	看
1518	真
1519	眠
1520	眸
1521	眼
1522	眾
1523	睏
1524	睛
1525	睜
1526	睡
1527	督
1528	睫
1529	睹
1530	瞎
1531	瞑
1532	瞞
1533	瞥
1534	瞧
1535	瞬
1536	瞭
1537	瞰
1538	瞳
1539	矛
1540	矢
1541	知
1542	短
1543	石
1544	砂
1545	砌
1546	砍
1547	破
1548	硃
1549	硝
1550	硬
1551	碌
1552	碎
1553	碑
1554	碗
1555	碟
1556	碰
1557	碲
1558	確
1559	碼
1560	碾
1561	磚
1562	礙
1563	礦
1564	示
1565	社
1566	祈
1567	祖
1568	祝
1569	神
1570	祟
1571	祥
1572	票
1573	祭
1574	禁
1575	禍
1576	福
1577	禦
1578	禪
1579	禮
1580	禱
1581	禿
1582	秀
1583	私
1584	科
1585	秒
1586	秘
1587	秦
1588	秩
1589	移
1590	稀
1591	稅
1592	程
1593	稍
1594	稚
1595	種
1596	稱
1597	稻
1598	稽
1599	積
1600	穗
1601	穩
1602	究
1603	空
1604	穿
1605	突
1606	窗
1607	窩
1608	窮
1609	窯
1610	窺
1611	竄
1612	立
1613	站
1614	竟
1615	章
1616	童
1617	竪
1618	端
1619	竹
1620	笆
1621	笑
1622	笛
1623	符
1624	笨
1625	第
1626	筆
1627	等
1628	筋
1629	筐
1630	筒
1631	答
1632	箏
1633	算
1634	管
1635	箭
1636	箱
1637	節
1638	範
1639	篇
1640	築
1641	篷
1642	簡
1643	簷
1644	簽
1645	簾
1646	籃
1647	籌
1648	籍
1649	籠
1650	籬
1651	籮
1652	米
1653	粉
1654	粗
1655	粥
1656	粹
1657	精
1658	糊
1659	糕
1660	糖
1661	糗
1662	糙
1663	糜
1664	糟
1665	紀
1666	約
1667	紅
1668	納
1669	純
1670	紗
1671	紙
1672	級
1673	紛
1674	素
1675	索
1676	紮
1677	細
1678	紹
1679	終
1680	組
1681	結
1682	絕
1683	絡
1684	給
1685	統
1686	絲
1687	綁
1688	綉
1689	經
1690	綜
1691	綠
1692	綫
1693	維
1694	綱
1695	綳
1696	綴
1697	綻
1698	緊
1699	緒
1700	緣
1701	編
1702	緩
1703	練
1704	緻
1705	縫
1706	縮
1707	縱
1708	縷
1709	總
1710	繁
1711	織
1712	繚
1713	繞
1714	繡
1715	繪
1716	繭
1717	繼
1718	續
1719	纍
1720	纔
1721	缸
1722	缺
1723	罩
1724	罪
1725	罰
1726	罵
1727	羅
1728	羊
1729	美
1730	羞
1731	群
1732	羨
1733	義
1734	羽
1735	翅
1736	習
1737	翔
1738	翠
1739	翰
1740	翹
1741	翻
1742	翼
1743	耀
1744	老
1745	考
1746	者
1747	而
1748	耍
1749	耐
1750	耳
1751	耶
1752	耿
1753	聆
1754	聊
1755	聖
1756	聞
1757	聯
1758	聲
1759	聽
1760	聾
1761	肉
1762	肌
1763	肖
1764	肚
1765	股
1766	肢
1767	肩
1768	肯
1769	育
1770	肺
1771	背
1772	胖
1773	胚
1774	胭
1775	胸
1776	能
1777	脂
1778	脅
1779	脆
1780	脈
1781	脫
1782	脾
1783	腐
1784	腔
1785	腥
1786	腦
1787	腮
1788	腰
1789	腳
1790	腸
1791	腿
1792	膀
1793	膏
1794	膚
1795	膛
1796	膩
1797	膽
1798	臀
1799	臂
1800	臉
1801	臨
1802	自
1803	至
1804	臺
1805	與
1806	興
1807	舉
1808	舊
1809	舌
1810	舞
1811	舢
1812	般
1813	船
1814	艙
1815	良
1816	色
1817	艷
1818	艾
1819	芒
1820	芙
1821	芬
1822	芭
1823	花
1824	芳
1825	芽
1826	苓
1827	苔
1828	苗
1829	苛
1830	苞
1831	若
1832	苦
1833	英
1834	茄
1835	茉
1836	茫
1837	茵
1838	茶
1839	茸
1840	草
1841	荊
1842	荒
1843	荷
1844	莉
1845	莊
1846	莎
1847	莓
1848	莫
1849	菊
1850	菜
1851	華
1852	菸
1853	萊
1854	萎
1855	萬
1856	落
1857	葉
1858	著
1859	葛
1860	董
1861	葥
1862	葬
1863	蒲
1864	蒸
1865	蒼
1866	蓉
1867	蓋
1868	蓮
1869	蓯
1870	蔓
1871	蔔
1872	蔚
1873	蔡
1874	蔽
1875	蕃
1876	蕉
1877	蕨
1878	蕩
1879	蕪
1880	蕭
1881	蕾
1882	薄
1883	薇
1884	薑
1885	薔
1886	薩
1887	藉
1888	藍
1889	藏
1890	藝
1891	藤
1892	藥
1893	蘇
1894	蘋
1895	蘚
1896	蘭
1897	蘿
1898	虔
1899	處
1900	虛
1901	號
1902	虧
1903	虹
1904	蛇
1905	蛋
1906	蛛
1907	蛦
1908	蛻
1909	蜀
1910	蜂
1911	蜒
1912	蜓
1913	蜘
1914	蜜
1915	蜥
1916	蜻
1917	蜿
1918	蝙
1919	蝠
1920	蝪
1921	蝴
1922	蝶
1923	蝸
1924	螂
1925	融
1926	螞
1927	螢
1928	蟑
1929	蟬
1930	蟲
1931	蟻
1932	蟾
1933	蠅
1934	蠟
1935	蠢
1936	蠻
1937	血
1938	行
1939	衍
1940	術
1941	街
1942	衝
1943	衡
1944	衣
1945	衫
1946	衰
1947	衷
1948	袋
1949	袍
1950	被
1951	裁
1952	裂
1953	裊
1954	裏
1955	裙
1956	補
1957	裝
1958	裡
1959	裹
1960	製
1961	褆
1962	褐
1963	褪
1964	褲
1965	襯
1966	襲
1967	西
1968	要
1969	覆
1970	見
1971	規
1972	視
1973	親
1974	覺
1975	覽
1976	觀
1977	角
1978	解
1979	言
1980	計
1981	訊
1982	討
1983	訓
1984	記
1985	訝
1986	訣
1987	訪
1988	許
1989	訴
1990	註
1991	詛
1992	詞
1993	試
1994	詩
1995	詭
1996	話
1997	該
1998	詳
1999	誇
2000	誌
2001	認
2002	誒
2003	誓
2004	誕
2005	誘
2006	語
2007	誠
2008	誣
2009	誤
2010	說
2011	誰
2012	課
2013	調
2014	談
2015	請
2016	諒
2017	論
2018	諷
2019	諸
2020	諾
2021	謀
2022	謂
2023	謊
2024	謙
2025	講
2026	謝
2027	謠
2028	證
2029	識
2030	譜
2031	警
2032	譯
2033	議
2034	護
2035	譽
2036	讀
2037	變
2038	讓
2039	豆
2040	豈
2041	象
2042	豪
2043	豫
2044	豬
2045	貌
2046	貍
2047	貓
2048	貝
2049	負
2050	貪
2051	責
2052	貴
2053	買
2054	費
2055	貼
2056	資
2057	賊
2058	賞
2059	賣
2060	質
2061	賭
2062	賴
2063	賺
2064	賽
2065	贊
2066	贏
2067	赤
2068	走
2069	起
2070	趁
2071	超
2072	越
2073	趕
2074	趣
2075	足
2076	跌
2077	跑
2078	距
2079	跟
2080	跡
2081	跨
2082	路
2083	跳
2084	踏
2085	踞
2086	踢
2087	踩
2088	踱
2089	蹄
2090	蹈
2091	蹙
2092	蹤
2093	蹲
2094	蹺
2095	躍
2096	身
2097	躬
2098	躲
2099	躺
2100	軀
2101	車
2102	軌
2103	軍
2104	軟
2105	軲
2106	較
2107	載
2108	輕
2109	輩
2110	輪
2111	輯
2112	輸
2113	輾
2114	轆
2115	轉
2116	辛
2117	辦
2118	辨
2119	農
2120	迂
2121	迎
2122	近
2123	返
2124	迫
2125	迭
2126	述
2127	迴
2128	迷
2129	追
2130	退
2131	送
2132	逃
2133	逅
2134	逆
2135	透
2136	逐
2137	逗
2138	這
2139	通
2140	逛
2141	逝
2142	速
2143	造
2144	連
2145	進
2146	逸
2147	逼
2148	遁
2149	遇
2150	遊
2151	運
2152	遍
2153	過
2154	遐
2155	道
2156	達
2157	違
2158	遙
2159	遞
2160	遠
2161	適
2162	遮
2163	遷
2164	選
2165	遺
2166	避
2167	邀
2168	邁
2169	邂
2170	還
2171	邊
2172	那
2173	邦
2174	邪
2175	郊
2176	郎
2177	部
2178	郵
2179	都
2180	鄉
2181	鄰
2182	酋
2183	配
2184	酒
2185	酵
2186	酷
2187	酸
2188	醇
2189	醉
2190	醒
2191	醜
2192	醞
2193	醫
2194	醬
2195	醺
2196	釀
2197	釁
2198	采
2199	釉
2200	釋
2201	重
2202	野
2203	量
2204	金
2205	針
2206	釣
2207	鈎
2208	鈔
2209	鈕
2210	鈴
2211	鉛
2212	銀
2213	銅
2214	銘
2215	銳
2216	銷
2217	銹
2218	鋒
2219	鋪
2220	鋼
2221	錄
2222	錐
2223	錢
2224	錦
2225	錯
2226	錶
2227	鍵
2228	鍾
2229	鎖
2230	鎢
2231	鎩
2232	鎮
2233	鏇
2234	鏡
2235	鐘
2236	鐵
2237	鑰
2238	鑽
2239	鑿
2240	長
2241	門
2242	閃
2243	閉
2244	開
2245	閑
2246	間
2247	閣
2248	閤
2249	閨
2250	閱
2251	闆
2252	關
2253	阱
2254	防
2255	阻
2256	阿
2257	陋
2258	陌
2259	降
2260	限
2261	院
2262	陣
2263	除
2264	陪
2265	陰
2266	陲
2267	陵
2268	陷
2269	陸
2270	陽
2271	隆
2272	隊
2273	階
2274	隔
2275	障
2276	隧
2277	隨
2278	險
2279	隱
